Rank,Guess,NumPatterns,P_solve2
188,85-24=61,1599,0.09022175
189,81-49=32,1599,0.09022175
190,69-28=41,1598,0.09016532
191,59-46=13,1598,0.09016532
192,76-41=35,1598,0.09016532
193,59-17=42,1598,0.09016532
194,69-12=57,1598,0.09016532
195,79-31=48,1598,0.09016532
196,73-25=48,1598,0.09016532
197,85-61=24,1597,0.09010890
198,60-21=39,1597,0.09010890
199,75-12=63,1597,0.09010890
200,81-45=36,1596,0.09005247
201,67-19=48,1596,0.09005247
202,86-12=74,1596,0.09005247
203,78-36=42,1596,0.09005247
204,82-47=35,1596,0.09005247
205,82-17=65,1596,0.09005247
206,98-42=56,1596,0.09005247
207,75-62=13,1596,0.09005247
208,76-31=45,1595,0.08999605
209,91-54=37,1595,0.08999605
210,83-29=54,1595,0.08999605
211,75-63=12,1594,0.08993963
212,71-46=25,1594,0.08993963
213,87-51=36,1594,0.08993963
214,86-52=34,1594,0.08993963
215,67-39=28,1594,0.08993963
216,81-36=45,1594,0.08993963
217,85-39=46,1594,0.08993963
218,47-18=29,1594,0.08993963
219,79-53=26,1593,0.08988320
220,67-38=29,1592,0.08982678
221,82-67=15,1592,0.08982678
222,82-37=45,1592,0.08982678
223,83-64=19,1592,0.08982678
224,50-36=14,1592,0.08982678
225,75-13=62,1591,0.08977035
226,86-49=37,1591,0.08977035
227,57-36=21,1591,0.08977035
228,95-61=34,1591,0.08977035
229,78-13=65,1591,0.08977035
230,73-28=45,1590,0.08971393
231,82-69=13,1590,0.08971393
232,93-42=51,1590,0.08971393
233,50-12=38,1589,0.08965751
234,96-21=75,1589,0.08965751
235,60-13=47,1589,0.08965751
236,92-38=54,1589,0.08965751
237,91-57=34,1589,0.08965751
238,39-24=15,1589,0.08965751
239,65-48=17,1588,0.08960108
240,60-48=12,1588,0.08960108
241,98-37=61,1588,0.08960108
242,94-36=58,1588,0.08960108
243,86-54=32,1588,0.08960108
244,86-29=57,1587,0.08954466
245,83-14=69,1586,0.08948824
246,74-58=16,1586,0.08948824
247,71-45=26,1586,0.08948824
248,69-17=52,1586,0.08948824
249,65-38=27,1585,0.08943181
250,79-28=51,1585,0.08943181
251,83-27=56,1585,0.08943181
252,79-41=38,1585,0.08943181
253,78-63=15,1584,0.08937539
254,59-16=43,1584,0.08937539
255,73-45=28,1584,0.08937539
256,83-69=14,1584,0.08937539
257,70-21=49,1583,0.08931896
258,60-18=42,1583,0.08931896
259,98-46=52,1583,0.08931896
260,60-43=17,1583,0.08931896
261,12+36=48,1583,0.08931896
262,87-63=24,1583,0.08931896
263,83-19=64,1582,0.08926254
264,81-46=35,1582,0.08926254
265,86-74=12,1582,0.08926254
266,60-31=29,1582,0.08926254
267,67-13=54,1582,0.08926254
268,94-71=23,1581,0.08920612
269,93-52=41,1581,0.08920612
270,76-45=31,1580,0.08914969
271,87-36=51,1580,0.08914969
272,98-61=37,1580,0.08914969
273,83-54=29,1580,0.08914969
274,91-28=63,1579,0.08909327
275,86-39=47,1579,0.08909327
276,69-57=12,1579,0.08909327
277,86-27=59,1579,0.08909327
278,95-24=71,1578,0.08903684
279,82-65=17,1578,0.08903684
280,83-59=24,1578,0.08903684
281,48+21=69,1578,0.08903684
282,69-52=17,1577,0.08898042
283,79-56=23,1576,0.08892400
284,50-14=36,1576,0.08892400
285,82-19=63,1575,0.08886757
286,82-45=37,1575,0.08886757
287,18+27=45,1575,0.08886757
288,12+46=58,1574,0.08881115
289,67-53=14,1574,0.08881115
290,91-63=28,1574,0.08881115
291,47-15=32,1574,0.08881115
292,83-26=57,1574,0.08881115
293,78-65=13,1573,0.08875473
294,85-36=49,1573,0.08875473
295,32+16=48,1573,0.08875473
296,91-67=24,1573,0.08875473
297,85-49=36,1573,0.08875473
298,94-38=56,1572,0.08869830
299,70-41=29,1572,0.08869830
300,89-37=52,1572,0.08869830
301,39-25=14,1572,0.08869830
302,91-64=27,1571,0.08864188
303,42+17=59,1571,0.08864188
304,69-48=21,1571,0.08864188
305,60-47=13,1571,0.08864188
306,47+21=68,1571,0.08864188
307,86-37=49,1571,0.08864188
308,85-64=21,1571,0.08864188
309,70-12=58,1570,0.08858545
310,98-51=47,1570,0.08858545
311,73-48=25,1570,0.08858545
312,87-64=23,1570,0.08858545
313,82-35=47,1570,0.08858545
314,85-12=73,1570,0.08858545
315,82-15=67,1570,0.08858545
316,95-71=24,1569,0.08852903
317,84-69=15,1569,0.08852903
318,85-13=72,1569,0.08852903
319,67-54=13,1569,0.08852903
320,86-72=14,1569,0.08852903
321,37+19=56,1569,0.08852903
322,97-46=51,1568,0.08847261
323,70-52=18,1568,0.08847261
324,97-51=46,1567,0.08841618
325,67-14=53,1567,0.08841618
326,59-38=21,1567,0.08841618
327,98-47=51,1567,0.08841618
328,76-35=41,1567,0.08841618
329,86-47=39,1566,0.08835976
330,17+39=56,1566,0.08835976
331,45+23=68,1566,0.08835976
332,84-19=65,1566,0.08835976
333,36+21=57,1565,0.08830333
334,50-38=12,1565,0.08830333
335,16+32=48,1565,0.08830333
336,40-23=17,1565,0.08830333
337,95-64=31,1565,0.08830333
338,18+29=47,1564,0.08824691
339,41+27=68,1564,0.08824691
340,97-32=65,1563,0.08819049
341,60-17=43,1563,0.08819049
342,59-28=31,1562,0.08813406
343,78-15=63,1562,0.08813406
344,98-67=31,1562,0.08813406
345,50-16=34,1562,0.08813406
346,92-14=78,1561,0.08807764
347,92-54=38,1561,0.08807764
348,79-14=65,1560,0.08802122
349,19+37=56,1559,0.08796479
350,94-73=21,1559,0.08796479
351,39+17=56,1559,0.08796479
352,32+17=49,1559,0.08796479
353,98-23=75,1558,0.08790837
354,87-56=31,1557,0.08785194
355,36+12=48,1557,0.08785194
356,95-27=68,1557,0.08785194
357,19+27=46,1555,0.08773910
358,89-32=57,1555,0.08773910
359,79-38=41,1554,0.08768267
360,98-52=46,1554,0.08768267
361,83-57=26,1553,0.08762625
362,97-35=62,1553,0.08762625
363,42+16=58,1552,0.08756982
364,96-25=71,1552,0.08756982
365,40-27=13,1552,0.08756982
366,28+17=45,1551,0.08751340
367,17+29=46,1551,0.08751340
368,50-18=32,1551,0.08751340
369,16+38=54,1550,0.08745698
370,12+37=49,1550,0.08745698
371,84-65=19,1550,0.08745698
372,79-15=64,1550,0.08745698
373,38+21=59,1549,0.08740055
374,79-58=21,1549,0.08740055
375,94-56=38,1549,0.08740055
376,96-12=84,1549,0.08740055
377,83-56=27,1548,0.08734413
378,52+17=69,1548,0.08734413
379,89-57=32,1548,0.08734413
380,91-68=23,1548,0.08734413
381,94-16=78,1548,0.08734413
382,85-46=39,1548,0.08734413
383,93-28=65,1548,0.08734413
384,31+26=57,1547,0.08728771
385,85-73=12,1547,0.08728771
386,18+39=57,1547,0.08728771
387,41+28=69,1547,0.08728771
388,97-62=35,1546,0.08723128
389,18+36=54,1546,0.08723128
390,46+12=58,1546,0.08723128
391,93-25=68,1546,0.08723128
392,85-72=13,1546,0.08723128
393,89-24=65,1546,0.08723128
394,38+19=57,1546,0.08723128
395,98-56=42,1546,0.08723128
396,31+28=59,1545,0.08717486
397,29+17=46,1543,0.08706201
398,40-13=27,1543,0.08706201
399,37+21=58,1543,0.08706201
400,92-18=74,1543,0.08706201
401,94-18=76,1542,0.08700559
402,28+41=69,1542,0.08700559
403,89-13=76,1541,0.08694916
404,21+37=58,1541,0.08694916
405,84-15=69,1541,0.08694916
406,92-58=34,1541,0.08694916
407,92-74=18,1541,0.08694916
408,36+18=54,1541,0.08694916
409,16+42=58,1540,0.08689274
410,96-14=82,1540,0.08689274
411,97-56=41,1540,0.08689274
412,89-52=37,1540,0.08689274
413,86-59=27,1540,0.08689274
414,27+19=46,1540,0.08689274
415,14+38=52,1540,0.08689274
416,39-14=25,1539,0.08683631
417,38+27=65,1539,0.08683631
418,12+47=59,1539,0.08683631
419,38+29=67,1539,0.08683631
420,60-39=21,1539,0.08683631
421,56+23=79,1539,0.08683631
422,80-31=49,1539,0.08683631
423,43+25=68,1538,0.08677989
424,26+31=57,1538,0.08677989
425,17+28=45,1538,0.08677989
426,35+29=64,1537,0.08672347
427,40-17=23,1536,0.08666704
428,53+26=79,1536,0.08666704
429,27+41=68,1536,0.08666704
430,47+12=59,1536,0.08666704
431,21+47=68,1536,0.08666704
432,98-57=41,1535,0.08661062
433,38+16=54,1535,0.08661062
434,60-29=31,1534,0.08655420
435,70-49=21,1534,0.08655420
436,31+27=58,1534,0.08655420
437,34+27=61,1534,0.08655420
438,94-58=36,1533,0.08649777
439,96-71=25,1533,0.08649777
440,79-64=15,1533,0.08649777
441,70-18=52,1532,0.08644135
442,95-74=21,1532,0.08644135
443,70-29=41,1532,0.08644135
444,25+43=68,1532,0.08644135
445,32+46=78,1531,0.08638492
446,39+18=57,1531,0.08638492
447,95-28=67,1531,0.08638492
448,70-14=56,1531,0.08638492
449,97-65=32,1531,0.08638492
450,70-58=12,1531,0.08638492
451,39-15=24,1530,0.08632850
452,21+36=57,1530,0.08632850
453,35+12=47,1530,0.08632850
454,46+13=59,1530,0.08632850
455,93-65=28,1530,0.08632850
456,79-48=31,1530,0.08632850
457,28+31=59,1529,0.08627208
458,16+29=45,1529,0.08627208
459,18+34=52,1529,0.08627208
460,18+49=67,1529,0.08627208
461,27+18=45,1529,0.08627208
462,93-68=25,1528,0.08621565
463,34+18=52,1528,0.08621565
464,79-65=14,1528,0.08621565
465,12+35=47,1527,0.08615923
466,54+18=72,1527,0.08615923
467,43+16=59,1527,0.08615923
